,index,company,model,series,year,fuel_type,kms_driven,Price
382,492,Hyundai,Verna 1.6,CRDI E,2016,Diesel,56000,195000
383,493,Maruti,Suzuki Swift,VXI BSIII,2007,Petrol,62000,130000
384,495,Maruti,Suzuki Omni,Select Variant,2014,Petrol,6020,190000
385,496,Honda,Amaze,,2013,Diesel,55700,250000
386,497,Tata,Indica,,2005,Petrol,42000,80000
387,498,Hyundai,Santro Xing,,2003,Petrol,50000,120000
388,499,Maruti,Suzuki Zen,Estilo,2010,Petrol,35000,149000
389,500,Maruti,Suzuki Wagon,R LXI BS IV,2014,Petrol,18500,250000
390,501,Maruti,Suzuki Wagon,R,2007,Petrol,7000,120000
391,502,Honda,Brio VX,AT,2017,Petrol,11000,450000
392,504,Maruti,Suzuki Zen,LXi BSII,2003,Petrol,53000,99999
393,505,Maruti,Suzuki Zen,Estilo LXI Green CNG,2008,Petrol,23000,135000
394,506,Maruti,Suzuki Wagon,R Select Variant,2016,Diesel,35500,225000
395,507,Maruti,Suzuki Alto,LXi BS III,2010,Petrol,22134,99000
396,508,Renault,Kwid RXT,,2019,Petrol,1000,370000
397,509,Tata,Nano Lx,BSIV,2010,Petrol,9000,52000
398,510,Jaguar,XE XE,Portfolio,2016,Petrol,8500,2800000
399,512,Hyundai,Eon Magna,Plus,2014,Petrol,35000,190000
400,513,Honda,City 1.5,S MT,2014,Petrol,22000,499000
401,514,Hindustan,Motors Ambassador,,2002,Diesel,25000,90000
402,515,Maruti,Suzuki Ritz,GENUS VXI,2010,Petrol,40000,149000
403,516,Hyundai,Grand i10,Magna AT 1.2 Kappa VTVT,2017,Petrol,20000,400000
404,517,Hyundai,Eon D,Lite Plus,2016,Petrol,87000,120000
405,518,Maruti,Suzuki Swift,Dzire VXi 1.2 BS IV,2015,Petrol,55000,250000
406,519,Maruti,Suzuki Wagon,R VXI BS IV,2017,Petrol,23000,375000
407,520,Honda,Amaze 1.2,VX i VTEC,2014,Petrol,6000,381000
408,521,Maruti,Suzuki Estilo,VXi ABS BS IV,2013,Petrol,65000,180000
409,522,Maruti,Suzuki Vitara,Brezza LDi O,2016,Diesel,25000,580000
410,523,Maruti,Suzuki Eeco,5 STR WITH AC HTR,2015,Petrol,39000,278000
411,525,Hyundai,Creta 1.6,SX Plus Petrol AT,2016,Petrol,8000,1000000
412,526,Mahindra,Scorpio Vlx,BSIV,2013,Diesel,75000,690000
413,527,Maruti,Suzuki Ertiga,VDi,2012,Diesel,51000,480000
414,528,Mitsubishi,Lancer 1.8,LXi,2006,Petrol,50000,85000
415,529,Maruti,Suzuki Maruti,800 AC,2001,Petrol,75000,40000
416,530,Maruti,Suzuki Alto,800 LXI CNG O,2015,Petrol,55800,90000
417,531,Hyundai,Grand i10,Magna 1.2 Kappa VTVT,2015,Petrol,53000,340000
418,532,Hyundai,Eon D,Lite Plus,2018,Petrol,25000,260000
419,533,Ford,Fiesta SXi,1.6 ABS,2009,Petrol,56400,250000
420,534,Maruti,Suzuki Ritz,VDi,2010,Diesel,72160,180000
421,535,Hyundai,Verna Fluidic,New,2012,Diesel,10000,350000
422,536,Maruti,Suzuki Wagon,R LXi BS III,2006,Petrol,48000,90001
423,537,Maruti,Suzuki Estilo,LX BS IV,2007,Petrol,36000,115000
424,538,Audi,A6 2.0,TDI Premium,2012,Diesel,11500,1599000
425,539,Maruti,Suzuki Wagon,R LXi BS III,2003,Petrol,133000,130000
426,540,Maruti,Suzuki Wagon,R,2009,Petrol,27000,159000
427,541,Maruti,Suzuki Wagon,R,2009,Petrol,35000,160000
428,542,Maruti,Suzuki Alto,,2010,Petrol,55000,110000
429,543,Maruti,Suzuki Baleno,Sigma 1.2,2016,Petrol,40000,425000
430,544,Hyundai,Verna 1.6,SX VTVT AT,2019,Petrol,2000,900000
431,545,Maruti,Suzuki Swift,GLAM,2009,Petrol,45000,150000
432,546,Hyundai,Getz Prime,1.3 GVS,2009,Petrol,20000,110000
433,547,Hyundai,Santro,,2000,Petrol,88000,51999
434,548,Hyundai,Getz Prime,1.3 GLX,2009,Petrol,20000,115000
435,549,Chevrolet,Beat PS,Diesel,2012,Diesel,65422,215000
436,550,Ford,EcoSport Trend,1.5 Ti VCT,2017,Petrol,10000,580000
437,551,Maruti,Suzuki Dzire,ZXI,2013,Petrol,35000,380000
438,552,Hyundai,Fluidic Verna,1.6 CRDi SX,2013,Diesel,117000,350000
439,553,Tata,Indica V2,DLG,2005,Diesel,150000,35000
440,554,BMW,X1 xDrive20d,xLine,2011,Diesel,72000,1150000
441,555,Hyundai,i20 Asta,1.2,2010,Petrol,10750,300000
442,556,Honda,City 1.5,V AT,2009,Petrol,55000,269000
443,557,Tata,Nano,,2013,Petrol,6800,60000
444,558,Chevrolet,Cruze LTZ,AT,2014,Diesel,41000,400000
445,559,Hyundai,Verna Fluidic,New,2015,Diesel,73000,430000
446,561,Maruti,Suzuki Swift,Dzire VDi,2011,Diesel,65000,140000
447,562,Mahindra,XUV500 W6,,2014,Diesel,45000,8500003
448,563,Mahindra,XUV500 W10,,2018,Diesel,40000,1299000
449,564,Maruti,Suzuki Alto,K10 LXi CNG,2014,Petrol,37000,199000
450,565,Hyundai,Accent GLE,,2006,Petrol,55000,90000
451,566,Force,Motors One,SUV,2013,Diesel,140000,550000
452,568,Maruti,Suzuki Alto,,2019,Petrol,9800,265000
453,569,Chevrolet,Spark 1.0,LT,2011,Petrol,27000,100000
454,570,Hyundai,i10,,2009,Petrol,27000,215000
455,571,Toyota,Etios Liva,GD,2012,Diesel,20000,380000
456,572,Renault,Duster 85PS,Diesel RxL Optional with Nav,2013,Diesel,57923,401919
457,573,Chevrolet,Enjoy,,2014,Diesel,30201,490000
458,574,Maruti,Suzuki Alto,800 Lxi,2017,Petrol,6200,280000
459,575,BMW,5 Series,530i,2009,Petrol,37518,650000
460,576,Toyota,Etios Liva,G,2014,Petrol,24652,160000
461,577,Mahindra,Jeep MM,550 XDB,2004,Diesel,383,424000
462,578,Chevrolet,Beat LS,Diesel,2016,Diesel,95000,225000
463,579,Chevrolet,Cruze LTZ,,2011,Diesel,35000,350000
464,580,Jeep,Wrangler Unlimited,4x4 Diesel,2015,Diesel,3528,950000
465,581,Maruti,Suzuki Ertiga,VDi,2013,Diesel,52500,485000
466,582,Hyundai,Verna VGT,CRDi SX ABS,2010,Diesel,47900,205000
467,583,Maruti,Suzuki Omni,,2012,Petrol,14000,160000
468,584,Maruti,Suzuki Celerio,VDi,2018,Petrol,37000,310000
469,585,Tata,Zest Quadrajet,1.3,2017,Diesel,90000,180000
470,586,Mahindra,XUV500 W6,,2013,Diesel,52800,549900
471,587,Tata,Indigo CS,eLX BS IV,2016,Diesel,104000,150000
472,588,Hyundai,i10 Era,,2011,Petrol,30000,175000
473,589,Tata,Indigo eCS,LX TDI BS III,2014,Diesel,195000,95000
474,590,Tata,Indigo LX,TDI BS III,2016,Diesel,104000,230000
475,591,Tata,Indigo eCS,LX CR4 BS IV,2016,Diesel,104000,230000
476,592,Tata,Indigo Marina,LS,2004,Diesel,70000,180000
477,594,Hyundai,Xcent SX,1.2,2015,Diesel,43000,400000
478,595,Hyundai,Eon Magna,Plus,2013,Petrol,23000,185000
479,596,Renault,Duster 85,PS RxL Diesel,2015,Diesel,51000,385000
480,597,Maruti,Suzuki Alto,K10 LXi CNG,2009,Petrol,62000,90000
481,598,Tata,Nano LX,Special Edition,2010,Petrol,48008,32000
482,600,Renault,Duster 110,PS RxZ Diesel,2013,Diesel,39000,435000
483,601,Maruti,Suzuki Wagon,R AX BSIV,2010,Petrol,40000,225000
484,602,Maruti,Suzuki Swift,,2006,Petrol,48247,189700
485,603,Maruti,Suzuki Ertiga,,2012,Diesel,39000,389700
486,604,Maruti,Suzuki Swift,VXi 1.2 ABS BS IV,2014,Petrol,23000,365000
487,605,Maruti,Suzuki Alto,K10 New,2017,Petrol,9400,360000
488,606,Hyundai,i20 Magna,,2010,Petrol,50000,210000
489,607,Hyundai,i10 Magna,1.2,2009,Petrol,75000,170000
490,609,Tata,Zest XE,75 PS Diesel,2017,Diesel,70000,380000
491,610,Mahindra,Xylo E8,,2009,Diesel,64000,295000
492,611,Toyota,Corolla Altis,GL Petrol,2010,Petrol,55000,185000
493,612,Tata,Manza Aqua,Quadrajet,2014,Diesel,200000,160000
494,615,Renault,Kwid 1.0,,2018,Petrol,2137,290000
495,617,Tata,Venture EX,8 STR,2013,Diesel,30000,100000
496,618,Maruti,Suzuki Swift,Dzire Tour LXi,2014,Petrol,44000,315000
497,620,Skoda,Octavia Classic,1.9 TDI MT,2006,Diesel,65000,114990
498,621,Maruti,Suzuki Omni,LPG BS IV,2012,LPG,160000,120000
499,622,Chevrolet,Beat Diesel,,2011,Diesel,56000,125000
500,623,Tata,Sumo Gold,EX BS IV,2012,Diesel,75000,210000
501,625,Hyundai,Verna 1.6,CRDI SX,2018,Diesel,42000,855000
502,627,Mahindra,Scorpio 2.6,CRDe,2007,Diesel,56000,260000
503,628,Maruti,Suzuki Zen,LXi BS III,2002,Petrol,10544,95000
504,629,Maruti,Suzuki Swift,Dzire VXi 1.2 BS IV,2011,Petrol,64000,255000
505,630,Mahindra,Scorpio SLX,2.6 Turbo 8 Str,2008,Diesel,70000,300000
506,631,Hyundai,Grand i10,Sportz 1.2 Kappa VTVT,2014,Petrol,25000,340000
507,632,Hyundai,Elite i20,Sportz 1.2,2017,Petrol,15000,550000
508,633,Ford,Ikon 1.6,Nxt,2003,Petrol,50000,60000
509,636,Toyota,Innova 2.5,V 7 STR,2011,Diesel,147000,750000
510,637,Nissan,Sunny XL,,2011,Petrol,52000,230000
511,638,Chevrolet,Beat LT,Diesel,2012,Diesel,90001,130000
512,639,Maruti,Suzuki Alto,800 Lxi,2017,Petrol,21000,270000
513,640,Maruti,Suzuki Swift,VDi BS IV,2012,Diesel,48006,280000
514,642,Maruti,Suzuki Swift,,2012,Diesel,48006,280000
515,644,Toyota,Innova 2.0,G4,2012,Diesel,80000,600000
516,646,Maruti,Suzuki Swift,VDi ABS,2010,Diesel,74000,190000
517,647,Hyundai,Elite i20,Asta 1.2,2015,Petrol,22000,500000
518,648,Mahindra,XUV500 W10,,2016,Diesel,41000,1065000
519,649,Volkswagen,Polo Trendline,1.5L D,2015,Diesel,25000,350000
520,650,Toyota,Etios Liva,Diesel,2012,Diesel,85000,350000
521,651,Mahindra,TUV300 T4,Plus,2016,Diesel,29500,540000
522,652,Hyundai,Elite i20,Asta 1.2,2015,Petrol,30000,470000
523,653,Hyundai,Santro Xing,GLS,2014,Petrol,57000,179000
524,654,Maruti,Suzuki Zen,LXi BS III,2003,Petrol,60000,48000
525,655,Maruti,Suzuki Ciaz,ZXi Plus RS,2016,Petrol,50000,650000
526,656,Hyundai,Eon Era,Plus,2013,Petrol,39700,190000
527,657,Hyundai,Elantra 1.8,S,2012,Petrol,65000,500000
528,658,Maruti,Suzuki Swift,VDi,2010,Diesel,67000,270000
529,659,Maruti,Suzuki Zen,Estilo LXI Green CNG,2008,Petrol,46000,125000
530,660,Hyundai,Eon Era,Plus,2012,Petrol,38000,188000
531,661,Hyundai,Grand i10,Magna 1.2 Kappa VTVT,2016,Petrol,27000,380000
532,662,Hyundai,Verna Fluidic,New,2011,Diesel,43000,365000
533,663,Ford,EcoSport Trend,1.5L Ti VCT,2014,Petrol,47000,465000
534,664,Hyundai,i20 Magna,,2011,Petrol,42000,240000
535,665,Chevrolet,Beat Diesel,,2016,Diesel,19336,179999
536,666,Tata,Indica eV2,LS,2015,Diesel,60105,140000
537,667,Jaguar,XF 2.2,Diesel Luxury,2013,Diesel,29000,2190000
538,668,Audi,Q5 2.0,TDI quattro Premium Plus,2014,Diesel,34000,2390000
539,669,BMW,3 Series,320d Sedan,2011,Diesel,35000,1075000
540,670,Maruti,Suzuki Swift,ZXi 1.2 BS IV,2015,Petrol,22000,475000
541,671,BMW,X1 sDrive20d,,2012,Diesel,41000,1025000
542,672,Maruti,Suzuki S,Cross Sigma 1.3,2016,Diesel,21000,615000
543,673,Maruti,Suzuki Ertiga,LDi,2013,Diesel,48000,475000
544,674,Maruti,Suzuki Alto,K10 VXi AMT,2016,Petrol,38000,270000
545,675,Honda,City SV,,2014,Diesel,34000,475000
546,676,Volkswagen,Vento Comfortline,Petrol,2011,Petrol,45933,240000
547,677,Honda,City 1.5,EXi New,2005,Petrol,68000,120000
548,678,Audi,A4 2.0,TDI 177bhp Premium,2016,Diesel,44000,1900000
549,679,Mahindra,KUV100,,2017,Diesel,35000,360000
550,680,Tata,Zest XE,75 PS Diesel,2018,Diesel,102563,450000
551,681,Mahindra,XUV500 W8,,2015,Diesel,28600,900000
552,682,Maruti,Suzuki Swift,Dzire Tour VDi,2017,Diesel,41800,650000
553,683,Tata,Sumo Gold,LX BS IV,2014,Diesel,116000,275000
554,684,Maruti,Suzuki Swift,Dzire VXi 1.2 BS IV,2009,Petrol,59000,210000
555,685,Mahindra,Scorpio 2.6,SLX,2004,Diesel,58000,175000
556,686,Maruti,Suzuki Omni,8 STR BS III,2009,Petrol,45000,85000
557,687,Mitsubishi,Pajero Sport,Limited Edition,2015,Diesel,42590,1490000
558,688,Renault,Duster,,2014,Diesel,7400,800000
559,689,Volkswagen,Jetta Comfortline,1.9 TDI AT,2009,Diesel,54500,450000
560,690,Maruti,Suzuki Ertiga,Vxi,2012,Diesel,200000,1000000
561,691,Audi,A4 2.0,TDI 177bhp Premium,2013,Diesel,27000,1510000
562,692,Volvo,S80 Summum,D4,2015,Diesel,42000,1850000
563,693,Toyota,Corolla Altis,VL AT Petrol,2014,Petrol,29000,790000
564,694,Mitsubishi,Pajero Sport,2.5 AT,2015,Diesel,37000,1725000
565,695,Chevrolet,Beat LT,Petrol,2012,Petrol,36000,135000
566,696,BMW,X1,,2011,Diesel,34000,1000000
567,697,Datsun,Redi GO,S,2018,Petrol,7000,299999
568,698,Mercedes,Benz C,Class C 220 CDI Avantgarde,2009,Diesel,76000,1225000
569,699,Mahindra,Scorpio SLX,,2004,Diesel,60000,175000
570,700,Volkswagen,Vento Comfortline,Diesel,2011,Diesel,95000,200000
571,701,Tata,Indigo CS,GLS,2017,Diesel,50000,270000
572,702,Ford,Figo Petrol,Titanium,2019,Petrol,0,525000
573,703,Honda,City ZX,GXi,2006,Petrol,50000,180000
574,704,Maruti,Suzuki Wagon,R Duo Lxi,2008,Petrol,68000,140000
575,705,Ford,EcoSport Trend,1.5L TDCi,2014,Petrol,16000,400000
576,706,Maruti,Suzuki Swift,Dzire VDi,2016,Diesel,51000,499000
577,707,Maruti,Suzuki Omni,8 STR BS III,2009,Petrol,56000,85000
578,708,Maruti,Suzuki Zen,LX BSII,2004,Petrol,100000,70000
579,709,Renault,Duster RxL,Petrol,2015,Petrol,36000,550000
580,710,Maruti,Suzuki Swift,VXi 1.2 BS IV,2014,Petrol,11523,370000
581,711,Maruti,Suzuki Baleno,Zeta 1.2,2018,Petrol,1000,690000
582,712,Honda,WR V,S MT Petrol,2009,Petrol,60000,250000
583,713,Tata,Indigo CS,eLX BS IV,2016,Diesel,85000,110000
584,714,Renault,Duster 110,PS RxL Diesel,2013,Diesel,38600,490000
585,715,Mahindra,Scorpio LX,BS III,2009,Diesel,95500,320000
586,716,Maruti,Suzuki Zen,LXi BS III,2004,Petrol,56000,68000
587,717,Maruti,Suzuki Wagon,R LXi BS III,2014,Petrol,37458,130000
588,718,Maruti,Suzuki SX4,Celebration Diesel,2016,Diesel,85960,970000
589,719,Audi,A3 Cabriolet,40 TFSI,2015,Petrol,12516,3100000
590,720,Hyundai,Eon D,Lite Plus,2018,Petrol,35000,280000
591,721,Maruti,Suzuki Zen,Estilo LXI Green CNG,2009,Petrol,0,125000
592,722,Mahindra,Scorpio SLX,,2008,Diesel,80000,285000
593,724,Hyundai,Santro AE,GLS Audio,2011,Petrol,45000,165000
594,726,Maruti,Suzuki Swift,Dzire Tour VDi,2009,Diesel,51000,250000
595,729,Mahindra,Xylo D2,BS IV,2011,Diesel,48000,390000
596,730,Hyundai,Santro,,2003,Petrol,51000,60000
597,731,Chevrolet,Beat LT,Diesel,2015,Diesel,90000,215000
598,732,Maruti,Suzuki Swift,Dzire VDi,2015,Diesel,43000,475000
599,733,Mahindra,XUV500 W8,,2015,Diesel,53000,899000
600,734,Toyota,Fortuner 3.0,4x4 MT,2013,Diesel,97000,1499000
601,735,Maruti,Suzuki Alto,K10 VXi,2013,Petrol,20000,240000
602,736,Hyundai,Getz GLE,,2007,Petrol,55000,99000
603,737,Maruti,Suzuki Swift,Dzire Tour LDi,2014,Diesel,120000,260000
604,738,Hyundai,Creta 1.6,SX,2019,Petrol,0,1200000
605,739,Hyundai,Santro Xing,XL AT eRLX Euro III,2007,Petrol,46000,115000
606,740,Hyundai,Santro Xing,XL eRLX Euro III,2009,Petrol,43200,88000
607,741,Mahindra,Xylo D2,BS IV,2011,Diesel,56000,390000
608,742,Hyundai,Santro Xing,XL eRLX Euro III,2007,Petrol,42000,135000
609,743,Tata,Indica V2,DLS BS III,2009,Diesel,30600,90000
610,744,Hyundai,i10 Sportz,1.2,2011,Petrol,38000,220000
611,745,Hyundai,Grand i10,Magna 1.2 Kappa VTVT,2017,Petrol,2550,424999
612,746,Hyundai,Santro Xing,XL AT eRLX Euro III,2007,Petrol,47000,135000
613,747,Honda,City 1.5,E MT,2005,Petrol,41000,95000
614,748,Nissan,Micra XL,,2017,Diesel,62500,430000
615,749,Honda,City 1.5,S Inspire,2005,Petrol,68000,115000
616,750,Maruti,Suzuki Alto,800 Lxi,2015,Petrol,50000,215000
617,751,Maruti,Suzuki Wagon,R LX BS III,2004,Petrol,69000,53000
618,752,Maruti,Suzuki Ertiga,VDi,2012,Diesel,48000,500000
619,753,Tata,Indica eV2,eXeta eGLX,2012,Diesel,55000,85000
620,754,Maruti,Suzuki Omni,E 8 STR BS IV,2013,Petrol,25000,165000
621,755,Hyundai,Eon Era,Plus,2014,Petrol,28400,200000
622,756,Hyundai,Eon,,2014,Petrol,28000,200000
623,757,Maruti,Suzuki Swift,LDi,2015,Diesel,42000,425000
624,759,Hyundai,Verna 1.6,CRDI SX Plus AT,2012,Diesel,29000,600000
625,760,Chevrolet,Tavera LS,B3 10 Seats BSII,2005,Diesel,68485,130000
626,761,Tata,Tiago Revotron,XM,2018,Petrol,3500,430000
627,762,Tata,Tiago Revotorq,XZ,2019,Petrol,0,568500
628,765,Maruti,Suzuki Zen,LXi BS III,2006,Petrol,32000,71000
629,766,Mahindra,KUV100 K8,D 6 STR,2018,Diesel,8000,560000
630,767,Ford,EcoSport Titanium,1.5 TDCi,2014,Diesel,34000,590000
631,768,Hindustan,Motors Ambassador,Classic Mark 4 – Befo,1995,Petrol,37000,750000
632,769,Ford,Fusion 1.4,TDCi Diesel,2007,Diesel,85455,125000
633,770,Hyundai,Santro Xing,XL AT eRLX Euro III,2007,Petrol,46000,135000
634,771,Hyundai,Santro,,2002,Petrol,47000,60000
635,772,Fiat,Linea Emotion,1.4 L T Jet Petrol,2009,Petrol,64000,120000
636,773,Ford,Ikon 1.3,Flair Josh 100,2008,Petrol,46000,95000
637,774,Maruti,Suzuki Omni,E 8 STR BS IV,2017,Petrol,8000,240000
638,775,Tata,Indica V2,LS,2012,Diesel,64000,115000
639,776,Mahindra,Scorpio S4,,2015,Diesel,63000,795000
640,777,Hyundai,Santro Xing,XL eRLX Euro III,2007,Petrol,65000,55000
641,778,Mahindra,Xylo D2,,2009,Diesel,62000,300000
642,779,Hyundai,Grand i10,Asta 1.2 Kappa VTVT,2014,Petrol,41000,320000
643,780,Maruti,Suzuki Alto,800 Lxi,2015,Petrol,14000,265000
644,781,Toyota,Corolla,,2006,Petrol,40000,160000
645,782,Hyundai,Eon Magna,,2017,Petrol,1600,300000
646,783,Tata,Sumo Grande,MKII GX,2010,Diesel,90000,130000
647,784,Maruti,Suzuki Swift,VDi,2011,Diesel,58000,250000
648,785,Volkswagen,Polo Highline1.2L,P,2013,Petrol,27000,380000
649,786,Maruti,Suzuki Alto,800 Lx,2003,Petrol,60000,42000
650,787,Tata,Tiago Revotron,XZ,2017,Petrol,31000,400000
651,788,Maruti,Suzuki Swift,LDi,2009,Diesel,90000,120000
652,789,Maruti,Suzuki Swift,VDi,2009,Diesel,90000,120000
653,790,Tata,Indigo eCS,,2016,Diesel,150000,130000
654,791,Chevrolet,Beat LS,Diesel,2014,Diesel,31000,189000
655,793,Mahindra,Xylo E8,BS IV,2011,Diesel,43000,365000
656,794,Hyundai,Eon D,Lite Plus,2013,Petrol,20000,170000
657,804,Tata,Sumo Gold,FX BSIII,2013,Petrol,100000,215000
658,813,Tata,Nano,,2013,Petrol,7000,60000
659,814,Hyundai,Elite i20,,2017,Petrol,31000,599999
660,815,Hyundai,i10 Magna,1.2 Kappa2,2009,Petrol,33000,400000
661,816,Hyundai,Creta,,2016,Diesel,60000,900000
662,817,Volkswagen,Polo,,2013,Diesel,48000,299999
663,818,Maruti,Suzuki Dzire,,2014,Petrol,33000,374999
664,819,Tata,Bolt XM,Petrol,2015,Petrol,15000,600000
665,820,Maruti,Suzuki Alto,800 Lx,2005,Petrol,47000,70000
666,821,Maruti,Suzuki Alto,,2005,Petrol,40000,100000
667,823,Maruti,Suzuki Ritz,,2010,Diesel,38000,150000
668,824,Maruti,Suzuki Alto,800 Lxi,2017,Petrol,12500,225000
669,825,Maruti,Suzuki Dzire,,2009,Petrol,42000,210000
670,827,Hyundai,i20 Asta,,2014,Petrol,31000,425000
671,828,Maruti,Suzuki Swift,Select Variant,2008,Diesel,60000,162000
672,829,Tata,Indica V2,DLX BS III,2005,Diesel,80000,60000
673,830,Mahindra,Scorpio VLX,2.2 mHawk Airbag BSIV,2014,Diesel,77000,650000
674,831,Toyota,Innova 2.5,E 8 STR,2012,Diesel,75000,750000
675,832,Mahindra,Xylo E8,,2010,Diesel,40000,375000
676,833,Hyundai,i20 Magna,1.2,2011,Petrol,47000,230000
677,834,Maruti,Suzuki Omni,,2000,Petrol,60000,35999
678,835,Mahindra,KUV100,,2016,Petrol,26500,380000
679,836,Mahindra,KUV100 K8,6 STR,2019,Petrol,2875,560000
680,837,Datsun,Go Plus,,2016,Petrol,13900,285000
681,838,Ford,Endeavor 4x4,Thunder Plus,2019,Diesel,9000,2900000
682,839,Tata,Indica V2,,2005,Diesel,80000,39999
683,840,Hyundai,Santro Xing,GL,2006,Petrol,60000,85000
684,841,Maruti,Suzuki Wagon,R 1.0 VXi,2016,Petrol,20000,395000
685,842,Maruti,Suzuki Swift,Select Variant,2008,Diesel,58000,175000
686,843,Maruti,Suzuki Alto,800 Lx,2019,Petrol,1500,400000
687,844,Toyota,Innova 2.5,Z Diesel 7 Seater,2011,Diesel,75000,750000
688,846,Maruti,Suzuki Alto,800,2016,Petrol,2450,250000
689,847,Maruti,Suzuki Alto,AX,2019,Petrol,1625,425000
690,849,Volkswagen,Polo Highline1.2L,P,2017,Petrol,45000,525000
691,850,Mahindra,Logan,,2009,Diesel,65000,130000
692,851,Maruti,Suzuki 800,Std BS III,2000,Petrol,33400,30000
693,852,Mahindra,Scorpio,,2011,Diesel,60123,475000
694,853,Chevrolet,Sail 1.2,LS,2013,Petrol,28000,300000
695,855,Hyundai,Santro AE,GLS Audio,2003,Petrol,70000,60000
696,856,Maruti,Suzuki Wagon,R VXi Minor,2006,Petrol,7000,100000
697,857,Hyundai,Eon,,2018,Petrol,25000,260000
698,858,Tata,Manza,,2015,Diesel,100000,100000
699,860,Toyota,Etios G,,2013,Petrol,42000,265000
700,862,Toyota,Qualis,,2003,Diesel,100000,180000
701,863,Hyundai,Santro Xing,,2004,Petrol,137495,45000
702,864,Tata,Indica eV2,LS,2016,Diesel,91200,50500
703,865,Honda,City 1.5,S MT,2009,Petrol,55000,270000
704,866,Tata,Zest XE,75 PS Diesel,2017,Diesel,120000,290000
705,867,Mahindra,Quanto C4,,2013,Diesel,63000,325000
706,868,Tata,Indigo eCS,LX CR4 BS IV,2016,Diesel,104000,160000
707,869,Maruti,Suzuki Swift,Dzire,2016,Diesel,146000,350000
708,870,Hyundai,Elite i20,,2011,Petrol,40000,290000
709,871,Hyundai,i20 Select,Variant,2011,Petrol,40000,290000
710,872,Chevrolet,Tavera Neo,,2007,Diesel,100800,465000
711,873,Maruti,Suzuki Dzire,,2016,Diesel,150000,325000
712,874,Hyundai,Elite i20,,2018,Petrol,2100,510000
713,875,Honda,City VX,Petrol,2016,Petrol,95000,860000
714,876,Maruti,Suzuki Dzire,,2016,Diesel,2500,450000
715,877,Hyundai,Getz,,2006,Petrol,80000,125000
716,878,Mercedes,Benz C,Class 200 K MT,2006,Petrol,15000,500001
717,879,Maruti,Suzuki Alto,LXi BS III,2005,Petrol,65000,95000
718,881,Skoda,Fabia,,2009,Petrol,45000,110000
719,883,Maruti,Suzuki Ritz,VXI ABS,2011,Petrol,50000,270000
720,885,Tata,Indica V2,DLE BS III,2009,Diesel,30000,110000
721,886,Toyota,Corolla Altis,,2009,Petrol,132000,300000
722,888,Tata,Zest XM,Diesel,2018,Diesel,27000,260000
723,889,Mahindra,Quanto C8,,2013,Diesel,40000,390000
